Brand_Reg,Average_Energy_Consumption(kWh/year)
AIWA,262
AKAI,223.5641026
AOA,155.75
ARK,53
Altius,76.83333333
Avel Innovations,108.6666667
BAUHN,259.047619
BLAUPUNKT,373.6339286
Blaupunkt,378.8333333
Brooklyn,125
CAIXUN,221.4571429
CHiQ,354.8444444
Caixun,123.9322034
Concentric Care,110
DECAMAX,430
DEVANTI,760
DEVANTi,280.5
DGTEC,303.4285714
Dynalink,76
EKO,374.3168317
ELITELUX,343
EMETE,679.4
ENGLAON,130.7419355
FFALCON,246.1
FURRION,102
Gorilla,174.5
HISENSE,506.6538462
HYUNDAI,399.0909091
Hitachi,234
Hubbl,240
Hubbl Glass,220
ILUMA,115.5
JVC,348.1047619
KOGAN,359.7666667
KONIC,299.8666667
KONKA,284
Kodak,244.2
Kogan,448.7566372
LAD,199
LG,502.8463855
LOEWE,318.6428571
LSP TV,60
Linsar,308.5
METZ,450
MITSUMARU,131
MYVI,88.33333333
Monster,68.75
PHILIPS,414.4966443
PRISM+,451.625
Palsonic,307
Panasonic,368.1639344
Philips,556.25
Polaroid,221.7619048
Q.Bell,224
QBELL,369
S VISION,379
SAMSUNG,565.1222222
SAMSUNG ELECTRONICS,574.5923423
SHARP,358.9
SKYWORTH,76
SMARTTECH,281
SMTV,327
SONIQ,419
SONY,586.8644068
STARVISION,138
SVISION,268.5
SYLVOX,92
ShareTV,106
Sharp,507
"Shenzhen Xinchaoda Technology Co., Ltd",378.5
Signify,378
Skyworth,671.75
Smarttech,130.5
Sony,573
Sphere,85.46153846
Stan Cash,60
Sylvox,163.4545455
TAVICE,477
TCL,579.84
TEAC,287.2413793
TECO,187.25
TELEFUNKEN,205.6666667
THOMSON,186.8333333
TOSHIBA,438.4864865
Thomson,182
VDT,78
VEON,378.8571429
Veon,362.2083333
Viano,214
WALTON,130.6666667
Yokohama,76
kogan,397
yokohama,410
